"","species","les","Length","Diet.Class.1","Diet.Class.2","Diet.Class.3","Home.Range","Schooling","Level","Activity","period","depth.group","haul","total","vul","resilience","mean.tmp","min.tmp","max.tmp","range.tmp"
"77","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","184",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"78","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","70",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"79","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","25",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"80","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","164",5,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"81","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","232",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"82","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","273",12,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"83","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","234",64,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"84","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","216",18,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"85","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","197",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"86","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","220",14,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"87","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","152",11,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"88","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","187",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"89","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","43",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"90","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","258",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"91","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","241",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"92","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","111",6,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"93","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","93",24,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"94","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","21",36,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"95","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","63",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"96","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","6",8,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"97","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","109",5,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"98","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","52",6,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"99","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","80",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"100","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","90",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"101","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","174",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"102","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","181",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"103","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","179",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"104","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","235",20,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"105","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","55",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"106","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","175",8,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"107","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","198",39,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"108","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","248",19,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"109","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","44",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"110","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","19",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"111","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","104",12,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"112","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","215",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"113","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","195",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"114","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","103",11,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"115","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","246",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"116","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","186",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"117","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","180",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"118","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","223",60,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"119","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","87",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"120","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","34",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"121","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","209",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"122","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","36",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"123","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","150",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"124","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","49",9,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"125","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","236",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"126","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","210",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"127","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","2",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"128","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","31",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"129","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","217",67,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"130","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","158",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"131","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","106",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"132","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","218",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"133","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","238",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"134","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","271",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"135","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","192",34,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"136","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","231",94,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"137","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","247",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"138","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","86",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"139","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","91",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"140","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","213",10,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"141","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","262",28,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"142","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","265",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"143","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","160",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"144","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","23",102,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"145","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","82",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"146","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","98",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"147","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","73",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"148","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","24",120,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"149","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","149",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"150","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","178",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"151","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","13",14,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"152","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","65",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"153","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","229",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"154","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","57",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"155","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","77",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"156","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","37",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"157","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","102",50,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"158","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","163",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"159","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","20",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"160","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","161",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"161","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","88",14,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"162","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","76",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"163","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","191",7,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"164","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","193",52,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"165","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","266",13,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"166","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","64",4,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"167","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","69",15,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"168","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","42",12,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"169","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","194",86,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"170","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","145",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"171","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","47",5,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"172","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","38",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"173","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","59",3,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
