%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2005 05 15 00 00 00	22.00
2005 05 16 00 00 00	22.04
2005 05 17 00 00 00	21.44
2005 05 18 00 00 00	21.56
2005 05 19 00 00 00	21.46
2005 05 20 00 00 00	21.72
2005 05 21 00 00 00	21.37
2005 05 22 00 00 00	21.86
2005 05 23 00 00 00	22.09
2005 05 24 00 00 00	21.96
2005 05 25 00 00 00	22.81
2005 05 26 00 00 00	23.08
2005 05 27 00 00 00	23.65
2005 05 28 00 00 00	-1000.00
2005 05 29 00 00 00	23.29
2005 05 30 00 00 00	23.24
2005 05 31 00 00 00	23.98
2005 06 01 00 00 00	23.51
2005 06 02 00 00 00	23.36
2005 06 03 00 00 00	22.83
2005 06 04 00 00 00	22.75
2005 06 05 00 00 00	22.89
2005 06 06 00 00 00	23.34
2005 06 07 00 00 00	22.73
2005 06 08 00 00 00	22.29
2005 06 09 00 00 00	22.71
2005 06 10 00 00 00	23.64
2005 06 11 00 00 00	23.67
2005 06 12 00 00 00	23.21
2005 06 13 00 00 00	-1000.00
2005 06 14 00 00 00	20.60
2005 06 15 00 00 00	21.23
2005 06 16 00 00 00	22.37
2005 06 17 00 00 00	22.22
2005 06 18 00 00 00	22.66
2005 06 19 00 00 00	24.95
2005 06 20 00 00 00	25.52
2005 06 21 00 00 00	25.82
2005 06 22 00 00 00	25.95
2005 06 23 00 00 00	25.76
2005 06 24 00 00 00	24.79
2005 06 25 00 00 00	24.73
2005 06 26 00 00 00	25.46
2005 06 27 00 00 00	26.26
2005 06 28 00 00 00	26.63
2005 06 29 00 00 00	26.74
2005 06 30 00 00 00	-1000.00
2005 07 01 00 00 00	-1000.00
2005 07 02 00 00 00	-1000.00
2005 07 03 00 00 00	27.56
2005 07 04 00 00 00	26.74
2005 07 05 00 00 00	27.18
2005 07 06 00 00 00	27.31
2005 07 07 00 00 00	27.02
2005 07 08 00 00 00	27.48
2005 07 09 00 00 00	27.33
2005 07 10 00 00 00	27.07
2005 07 11 00 00 00	28.42
2005 07 12 00 00 00	27.55
2005 07 13 00 00 00	27.92
2005 07 14 00 00 00	28.11
2005 07 15 00 00 00	27.93
2005 07 16 00 00 00	-1000.00
2005 07 17 00 00 00	-1000.00
2005 07 18 00 00 00	27.81
2005 07 19 00 00 00	27.81
2005 07 20 00 00 00	27.64
2005 07 21 00 00 00	28.31
2005 07 22 00 00 00	28.50
2005 07 23 00 00 00	28.83
2005 07 24 00 00 00	28.42
2005 07 25 00 00 00	28.37
2005 07 26 00 00 00	28.24
2005 07 27 00 00 00	28.87
2005 07 28 00 00 00	29.52
2005 07 29 00 00 00	28.62
2005 07 30 00 00 00	27.99
2005 07 31 00 00 00	27.22
2005 08 01 00 00 00	27.76
2005 08 02 00 00 00	28.90
2005 08 03 00 00 00	29.01
2005 08 04 00 00 00	29.07
2005 08 05 00 00 00	28.51
2005 08 06 00 00 00	28.62
2005 08 07 00 00 00	28.99
2005 08 08 00 00 00	28.51
2005 08 09 00 00 00	28.58
2005 08 10 00 00 00	29.09
2005 08 11 00 00 00	29.62
2005 08 12 00 00 00	29.71
2005 08 13 00 00 00	28.41
2005 08 14 00 00 00	28.61
2005 08 15 00 00 00	28.58
2005 08 16 00 00 00	28.61
2005 08 17 00 00 00	28.88
2005 08 18 00 00 00	29.01
2005 08 19 00 00 00	28.58
2005 08 20 00 00 00	28.72
2005 08 21 00 00 00	29.12
2005 08 22 00 00 00	29.39
2005 08 23 00 00 00	29.19
